question_id,option_count,option_id
experience,0
vitamins-supplements-past,0
number-vitamins-recommendation,0
vitamins-supplements-how-often-adherence,0
curious-currently-take-vitamins-supplements,0
gender,0
prenatal-postnatal-yes-no,0
pregnancy-which-of-these,0
why-vitamins-motivation,0
topics,0
most-important,0
immunity-frequently-get-sick,0
immunity-cold-like-symptoms,0
immunity-traveling-plane,0
immunity-planning-high-intensity,0
brain-focus-trouble-multitasking,0
brain-focus-trouble-focusing,0
short-term-memory-concern,0
is-your-stress,0
do-you-have-bad-mood,0
